activity_time_id,employee_id,activity_id,activity_date,minutes,factor_value,notes_internal
750,5,20,2025-05-10,0,0.0,Data Innovation Summit + Interna möten fredag
1256,3,17,2025-06-26,30,1.0,
1255,3,17,2025-06-25,30,1.0,
1257,3,17,2025-06-27,30,1.0,
1564,3,21,2025-08-21,30,1.0,
932,3,21,2025-06-17,30,1.0,
876,3,21,2025-06-10,30,1.0,
1295,3,25,2025-06-30,30,1.0,
1250,3,11,2025-06-27,60,1.0,
891,3,11,2025-06-11,60,1.0,
1519,3,11,2025-08-11,60,1.0,
1640,3,11,2025-08-27,60,1.0,
1357,3,11,2025-07-03,60,1.0,
1358,3,11,2025-07-04,60,1.0,
1377,2,17,2025-07-02,60,1.0,
1378,2,17,2025-07-03,60,1.0,
1379,2,17,2025-07-04,60,1.0,
1372,2,17,2025-07-10,60,1.0,
848,3,20,2025-06-03,60,0.0,
1526,3,21,2025-08-11,60,1.0,
1709,11,21,2025-08-26,60,1.0,
507,3,21,2025-05-27,60,1.0,
1646,3,21,2025-08-26,60,1.0,
1690,11,21,2025-08-21,60,1.0,
1291,3,21,2025-07-03,60,1.0,
1688,11,21,2025-08-19,60,1.0,
1563,3,21,2025-08-20,60,1.0,
934,3,21,2025-06-19,60,1.0,
879,3,21,2025-06-13,60,1.0,
1534,3,22,2025-08-12,60,0.0,
1348,3,22,2025-07-01,60,0.0,
1535,3,22,2025-08-13,60,0.0,
1425,3,25,2025-07-29,60,1.0,
1717,11,25,2025-08-27,60,1.0,
1542,3,25,2025-08-13,60,1.0,
1577,3,25,2025-08-20,60,1.0,
1544,3,25,2025-08-15,60,1.0,
69,2,10,2025-04-07,90,1.0,
1639,3,11,2025-08-26,90,1.0,
939,3,17,2025-06-17,90,1.0,
828,3,21,2025-06-04,90,1.0,
878,3,21,2025-06-12,90,1.0,
875,3,21,2025-06-09,90,1.0,
883,3,22,2025-06-10,90,0.0,
953,3,22,2025-06-17,105,0.0,
1478,3,11,2025-08-05,120,1.0,
1558,3,11,2025-08-22,120,1.0,
893,3,11,2025-06-13,120,1.0,
11773,5,15,2025-08-13,120,1.0,
961,9,15,2025-06-25,120,1.0,
249,8,16,2025-04-15,120,1.0,
871,3,17,2025-06-12,120,1.0,
1369,2,17,2025-07-07,120,1.0,
1365,3,17,2025-07-04,120,1.0,
395,3,20,2025-05-13,120,0.0,
453,3,20,2025-05-22,120,0.0,
543,8,20,2025-05-21,120,0.0,
271,8,20,2025-04-30,120,0.0,
396,3,20,2025-05-14,120,0.0,
501,3,20,2025-05-28,120,0.0,
530,8,20,2025-05-15,120,0.0,
1116,2,20,2025-06-26,120,0.0,
394,3,20,2025-05-12,120,0.0,
1410,3,20,2025-07-28,120,0.0,
1527,3,21,2025-08-12,120,1.0,
1677,11,21,2025-08-15,120,1.0,
827,3,21,2025-06-03,120,1.0,
725,3,22,2025-05-12,120,0.0,
854,3,22,2025-06-02,120,0.0,
1570,3,22,2025-08-20,120,0.0,
736,3,22,2025-05-30,120,0.0,
884,3,22,2025-06-11,120,0.0,
1654,3,22,2025-08-27,120,0.0,
1351,3,22,2025-07-04,120,0.0,
1494,3,22,2025-08-07,120,0.0,
1493,3,22,2025-08-06,120,0.0,
11810,5,23,2025-08-29,120,0.0,
906,3,25,2025-06-12,120,1.0,
1541,3,25,2025-08-12,120,1.0,
1579,3,25,2025-08-22,120,1.0,
1660,3,25,2025-08-26,120,1.0,
1427,3,25,2025-07-31,120,1.0,
1540,3,25,2025-08-11,120,1.0,
1698,11,25,2025-08-22,120,1.0,
445,3,11,2025-05-21,150,1.0,
1281,3,20,2025-06-30,150,0.0,
454,3,20,2025-05-23,150,0.0,
450,3,20,2025-05-19,150,0.0,
885,3,22,2025-06-12,150,0.0,
1278,3,25,2025-06-27,150,1.0,
1403,3,11,2025-07-28,180,1.0,
1404,3,11,2025-07-29,180,1.0,
1520,3,11,2025-08-12,180,1.0,
1406,3,11,2025-07-31,180,1.0,
446,3,11,2025-05-22,180,1.0,
1059,8,16,2025-06-25,180,1.0,
1110,2,17,2025-06-27,180,1.0,
503,3,20,2025-05-30,180,0.0,
1702,11,20,2025-08-26,180,0.0,
510,3,21,2025-05-30,180,1.0,
1561,3,21,2025-08-18,180,1.0,
488,3,21,2025-05-22,180,1.0,
1529,3,21,2025-08-14,180,1.0,
1530,3,21,2025-08-15,180,1.0,
829,3,21,2025-06-05,180,1.0,
954,3,22,2025-06-18,180,0.0,
955,3,22,2025-06-19,180,0.0,
1417,3,22,2025-07-28,180,0.0,
1420,3,22,2025-07-31,180,0.0,
952,3,22,2025-06-16,180,0.0,
1268,3,22,2025-06-24,180,0.0,
1270,3,22,2025-06-26,180,0.0,
1299,3,25,2025-07-04,180,1.0,
1290,3,21,2025-07-02,210,1.0,
1653,3,22,2025-08-26,210,0.0,
1267,3,22,2025-06-23,210,0.0,
1571,3,22,2025-08-21,210,0.0,
478,11,7,2025-05-23,240,1.0,
1235,10,9,2025-06-26,240,1.0,
1557,3,11,2025-08-21,240,1.0,
1556,3,11,2025-08-20,240,1.0,
387,3,11,2025-05-12,240,1.0,
1434,6,12,2025-07-10,240,1.0,
107,6,12,2025-04-11,240,1.0,
650,6,12,2025-05-16,240,1.0,
106,6,12,2025-04-10,240,1.0,
226,4,14,2025-04-11,240,1.0,
592,4,14,2025-05-07,240,1.0,
11712,4,14,2025-08-22,240,1.0,
218,4,14,2025-04-17,240,1.0,
11698,4,14,2025-08-15,240,1.0,
11786,5,15,2025-08-05,240,1.0,
837,9,15,2025-06-06,240,1.0,
263,8,16,2025-04-29,240,1.0,
552,8,16,2025-05-30,240,1.0,
11758,5,18,2025-08-05,240,1.0,
1242,10,20,2025-06-26,240,0.0,
1701,11,20,2025-08-25,240,0.0,
599,4,20,2025-05-07,240,0.0,
11705,4,20,2025-08-15,240,0.0,
11719,4,20,2025-08-22,240,0.0,
1704,11,20,2025-08-28,240,0.0,
559,8,20,2025-05-30,240,0.0,
810,11,20,2025-05-23,240,0.0,
1562,3,21,2025-08-19,240,1.0,
1712,11,21,2025-08-29,240,1.0,
1711,11,21,2025-08-28,240,1.0,
1708,11,21,2025-08-25,240,1.0,
1569,3,22,2025-08-19,240,0.0,
1271,3,22,2025-06-27,240,0.0,
1418,3,22,2025-07-29,240,0.0,
1495,3,22,2025-08-08,240,0.0,
1572,3,22,2025-08-22,240,0.0,
1652,3,22,2025-08-25,240,0.0,
1533,3,22,2025-08-11,240,0.0,
1537,3,22,2025-08-15,240,0.0,
1441,6,24,2025-07-10,240,0.0,
657,6,24,2025-05-16,240,0.0,
948,3,25,2025-06-19,240,1.0,
1716,11,25,2025-08-26,240,1.0,
1502,3,25,2025-08-08,240,1.0,
1659,3,25,2025-08-25,240,1.0,
1719,11,25,2025-08-29,240,1.0,
